Term ID	Label	Parent Term	Definition	GECKO Category	Suggested Categories	Comment
GE:q2_scan_date	q2_scan_date	Post-Operative (Q2)		signs and symptoms			
GE:q2_self_care	q2_self_care	Post-Operative (Q2)		signs and symptoms			
GE:q2_success	q2_success	Post-Operative (Q2)		survey administration			
GE:q2_surgery_date	q2_surgery_date	Post-Operative (Q2)		date and time-related information			
GE:q2_urine	q2_urine	Post-Operative (Q2)		signs and symptoms			
GE:q2_wound	q2_wound	Post-Operative (Q2)		signs and symptoms			
GE:q2_further_surgery	q2_further_surgery	Post-Operative (Q2)		surgical interventions			
GE:practitioner	Practitioner			physician/practitioner info			
GE:referorg	Referring organisation code	Practitioner	The organisation code of the organisation from which the referral is made, such as GP practice or NHS trust.	physician/practitioner info			
GE:referrer	Referrer code	Practitioner	"The code for the person referring the patient. This may be the GMC code for the consultant, or the code that defines the practice of the patient's registered GMP or GDP. 
 
 
 
 This field contains sensitive data. Access to it requires the approval of The Independent Group Advising on the Release of Data (IGARD)."	survey administration			
GE:reqdate	Referral request received date	Practitioner	The date the referral request was received by the healthcare provider.	date and time-related information			
GE:consult	Consultant code	Practitioner	"A code for the consultant, which identifies the consultant as an individual. This is represented as the GMC number of the consultant prefixed by 'C'; for dental consultants who do not have a GMC number, the General Dental Council Registration is used prefixed with ""CD"". Pseudo codes are used on all episodes or attendances where the patient is under the care of a midwife, nurse, or other health care professional rather than a consultant. 
 
 
 
 This field contains sensitive data. Access to it requires the approval of The Independent Group Advising on the Release of Data (IGARD)."	physician/practitioner info			
GE:gpprac	Code of GP practice	Practitioner|Geographical|Practitioner data	Code of GP Practice (registered GMP). This field was introduced for the 1997-98 data year. It contains a code which defines the practice of the patient's registered GP. It allows the GP to be notified about treatment given to the patient. The registered GP may not be the same as the referring GP.|This field contains a code which defines the practice of the patient's registered GP. It allows the GP to be notified about treatment given to the patient. The registered GP may not be the same as the referring GP.|This field contains a code which defines the practice that the patient is registered with.	physician/practitioner info			
GE:pre_operative_q1	Pre-Operative (Q1)					questions about QOL before surgery, does this fall under 'surgical'?	
GE:q1_activity	PreOp3	Pre-Operative (Q1)	Usual activities? Rates the patient's self-perceived ability to perform usual activities	signs and symptoms		does pre-op fall under surgical?	
GE:q1_anxiety	PreOp5	Pre-Operative (Q1)	Anxiety/Depression? Rates the patient's self-perceived level of Anxiety/Depression	mental and behaviour disorders			
GE:q1_assisted	q1_assisted	Pre-Operative (Q1)	Indicates whether the patient received any assistance in the completion of the questionnaire. Corresponding Q1 general health question: Is anyone helping you fill in this questionnaire?	survey administration			
GE:q1_assisted_by	q1_assisted_by	Pre-Operative (Q1)	Indicates the relationship of the patient with the person assisting in the completion of the questionnaire. Corresponding Q1 general health question: If the answer is yes, please give the relationship to you of the person assisting you.	survey administration			
GE:q1_complete	q1_complete	Pre-Operative (Q1)	Indicates whether questionnaire 1 is complete	survey administration			
GE:q1_completed_date	q1_completed_date	Pre-Operative (Q1)	Date on which questionnaire was completed Corresponding Q1 general health question: Today's Date Completed date is equal to the date entered for this question. If the completed date question is blank or invalid the scan date is used for subsequent analysis.	date and time-related information			
